source_id,source_sha256_12,operator,dimension,targets,assessed_ok,supported_ge_2_3,weak_below_floor,unassessed,failed_or_invalid,stale,excluded_by_discovery,excluded_ids,supported_and_discovery_eligible,supported_eligible_conf_ge_0.5,weak_and_discovery_eligible,best_eligible_target,best_norm,best_confidence,published_bonds
F3,f71ff254e1cd,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F2|F4,0,0,38,,,,0
F3,f71ff254e1cd,BRIDGE,bridge_relation,40,40,17,23,0,0,0,2,F2|F4,17,0,21,LF7,0.777,0.330,0
F4,8ecba52f52c2,ECHO,echo,40,40,8,32,0,0,0,2,F3|F5,6,4,32,F2,0.943,0.830,0
F4,8ecba52f52c2,DEVELOP,development,40,40,4,36,0,0,0,2,F3|F5,3,2,35,P1,0.783,0.350,0
F4,8ecba52f52c2,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F3|F5,0,0,38,,,,0
F4,8ecba52f52c2,BRIDGE,bridge_relation,40,40,16,24,0,0,0,2,F3|F5,16,0,22,LF16,0.800,0.400,0
F5,7c5bde18887b,ECHO,echo,40,40,15,25,0,0,0,2,F4|F6,13,10,25,F11,0.967,0.900,0
F5,7c5bde18887b,DEVELOP,development,40,40,11,29,0,0,0,2,F4|F6,9,6,29,F7,0.913,0.740,0
F5,7c5bde18887b,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F4|F6,0,0,38,,,,0
F5,7c5bde18887b,BRIDGE,bridge_relation,40,40,12,28,0,0,0,2,F4|F6,12,4,26,LF7,0.743,0.440,0
F6,bd6525417aaf,ECHO,echo,40,40,13,27,0,0,0,2,F5|F7,11,9,27,F2,0.950,0.850,0
F6,bd6525417aaf,DEVELOP,development,40,40,18,22,0,0,0,2,F5|F7,16,5,22,P3,0.910,0.730,0
F6,bd6525417aaf,CONTRADICT,contradiction,40,40,0,40,0,0,0,2,F5|F7,0,0,38,,,,0
F6,bd6525417aaf,BRIDGE,bridge_relation,40,40,10,30,0,0,0,2,F5|F7,10,0,28,LF11,0.773,0.320,0
F7,c96f98c9a49b,ECHO,echo,40,40,11,29,0,0,0,2,F6|F8,9,7,29,F5,0.967,0.900,0
F7,c96f98c9a49b,DEVELOP,development,40,40,4,36,0,0,0,2,F6|F8,2,2,36,F5,0.793,0.570,0
F7,c96f98c9a49b,CONTRADICT,contradiction,40,40,1,39,0,0,0,2,F6|F8,0,0,38,,,,0
